# Gao et al. (2018) - Teff = 400, log g = 4.25
# T [K], P [bar]
173.0268233106564, 0.0030186599363492394
182.08723030174278, 0.0051371128359286745
198.05915644388315, 0.00977171756921976
223.05869301418954, 0.017912146732903898
256.0217341396536, 0.030677691354716766
292.1721021028303, 0.052868097440052296
333.0982912990722, 0.08407801610849125
378.8024406346564, 0.12805495428563876
423.973289338408, 0.1879321247184932
469.67316086143785, 0.26576646097659107
522.8092965422444, 0.37585985352852835
570.1001578512836, 0.5090246783063084
625.3591580124146, 0.697990296170983
677.4279794607965, 0.9052894074188658
730.5587678759096, 1.1669297990048504
781.5634834512824, 1.467425820342606
838.4113344921457, 1.856833922167278
892.0707892421574, 2.2921355609082865
948.3860526199466, 2.8295478503220766
1002.5755996423752, 3.428723675199378
1059.9521170181372, 4.154888152613825
1112.0155912008256, 4.911667008950642
1169.922200849004, 5.842570653237284
1221.9853185473123, 6.864185102148129
1282.0169315820926, 8.21592022310735
1337.7967554217714, 9.417080341483103
1393.5772922302094, 10.92812031194506
1452.0136376664257, 12.681895376503643
1500.8872896207452, 14.268089229765689
