# Gao et al. (2018) - Teff = 400, log g = 4.25
# T [K], P [bar]
148.06222220954757, 0.0030180388924620242
150.1947117681199, 0.003457744250385544
164.04127803927884, 0.006496327843057375
177.88927024795646, 0.01251068991563269
191.73761894101355, 0.024242597512619944
207.71061453629224, 0.046976931694642635
230.58407826685868, 0.0840070074630366
266.2032845044797, 0.14477201565968106
302.35293949889723, 0.24642598381619324
343.27734627324116, 0.37997274626090244
389.51265733438095, 0.5787197167182682
436.27663473041963, 0.8441003025470684
485.6953513010969, 1.2085806708432534
536.7057706265429, 1.677799694584544
586.6524405633597, 2.2722835015645937
635.5350046271676, 2.9837215548261655
690.2603476720858, 3.918095181122965
743.9219413283753, 5.0193746111050785
799.7085383712661, 6.470180661223808
852.3056696701667, 7.986929338542918
908.6216460167152, 9.982187333789447
963.8738729746343, 12.171091490176181
1019.125743448174, 14.74853126235352
1071.1899305996212, 17.65173836143931
1130.1592201832907, 21.127636018519347
1185.4096647193119, 24.976517967065732
1240.1285910453983, 29.34447959068384
1294.8471608871043, 34.263866283880134
1351.159215905478, 40.008477503702096
1464.8452929089558, 54.21289245552179
1498.8442776414429, 58.76565816564754
