# Gao et al. (2018) - Teff = 400, log g = 5.25
# T [K], P [bar]
115.13019522510581, 0.0030172198385188397
131.09570464841389, 0.005134954326238843
140.6744399273914, 0.0069951826580174105
149.19013878649892, 0.00941214482181811
160.37162783601167, 0.015057590073724172
168.89516935146955, 0.02321161947183622
175.8216608464652, 0.03363597805785468
183.81261469884925, 0.050584081848070006
190.73839322508587, 0.0724007991265739
199.25908286550725, 0.10622257175084374
209.37610955763162, 0.16374667423873152
218.96126155544127, 0.24932000842520013
230.66749561167748, 0.3568648162196786
242.89990061215522, 0.4684554788736289
262.03883398237275, 0.6303705122058713
276.9249087043506, 0.797374964117735
292.3414321831248, 0.996235636991551
316.2593951458237, 1.3078817835305123
337.51869760570855, 1.6341385756197933
355.0570161116682, 1.9432086916190878
378.97141423057144, 2.3981713577917936
406.07492160908515, 3.071565471324529
433.1762900813217, 3.7908094255216938
451.77479313211495, 4.343691033103537
465.59070174663117, 4.7958037103062345
483.12616837755434, 5.427695075567996
510.22539794351326, 6.454761887209212
536.7941787526757, 7.771632209420174
572.3934218650409, 9.474268847960637
604.804268686555, 11.267550198812526
639.8730630421238, 13.90689562834238
674.9411444289335, 16.953593230724994
730.7288109249632, 22.26292645553827
774.2951234362816, 26.974889245061583
828.4868093649875, 33.92208233940537
875.2397357452596, 40.84950187219338
907.1158559974223, 45.66915863345824
940.0553691538349, 52.01358088156993
973.5256875514233, 58.87458153566842
1001.6826062715588, 64.6096033846899
1031.43372313712, 71.78623075743235
1079.246477577846, 82.7860685870436
1125.9976215362199, 96.65819810906135
1174.873412396816, 112.85680098084299
1224.8101007710052, 128.5530304321636
1258.8112244097688, 144.61413178075838
1295.9978924643488, 158.71292573874987
1338.4979601963805, 179.6617800492673
1382.0596384107648, 200.87864552815813
1427.74667649613, 227.39901521076925
1464.934057519468, 252.67325359115523
1499.9957221874458, 275.5933066573336
